COD,LOC,REF,PRC,QTD
420652,QUIMICA / ALCOOL,*Alcool Isopropilico  100ml Comkitel 42.065.2,7.95,0.00
42065,QUIMICA / ALCOOL,*Alcool Isopropilico  250ml Comkitel 42.065,16.90,0.00
420651,QUIMICA / ALCOOL,*Alcool Isopropilico  500ml Comkitel 42.065.1 ,29.90,-1.00
420653,QUIMICA / ALCOOL,*Alcool Isopropilico 1000ml Comkitel 42.065.3 :CA5,49.90,54.00
420655,QUIMICA / ALCOOL,*Alcool Isopropilico 5 litros Comkitel 42.065.5,199.90,0.00
4891199002212,BATERIA / BAT 9V,*Bateria 9V 45.04.009 GP :BE2,6.90,44.00
041333001043,BATERIA / BAT 9V,*Bateria 9V Alcalina Duracell 45.04.004  :BE2,24.90,38.00
7897013534249,BATERIA / BAT 9V,*Bateria 9V Alcalina Elgin 45.04.007 ,13.90,0.00
8712581544164,BATERIA / BAT 9V,*Bateria 9V Alcalina Philips 45.04.005,13.90,0.00
4504003,BATERIA / BAT 9V,*Bateria 9V New Leader 45.04.003,5.90,0.00
8712581547004,BATERIA / BAT 9V,*Bateria 9V Philips 45.04.002,7.90,0.00
4510042,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,55V AG12 LR43 386 386A V386 186 L1142 301 45.10.042",2.90,0.00
4510035,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,55V AG5 LR48 LR754 SR754W 393 45.10.035",2.90,0.00
4510037,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,55V AG7 395A 926 LR927 SR927SW LR57 SR927 395 45.10.037",2.90,0.00
4510040,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,5V AG10 LR1131 389A 45.10.040",2.90,0.00
7897013538124,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,5V LR44 AG13 A76 Elgin  45.10.017",3.20,0.00
5415329877595,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,5V LR44 AG13 A76 Flex 45.10.034 ",1.50,0.00
4891199015496,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,5V LR44 AG13 A76 GP 45.10.018",3.40,164.00
4510015,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,5V LR44 AG13 A76 Panasonic 45.10.015 ",3.20,0.00
4891199002311,BATERIA / BAT 9V,*Bateria Alcalina 9V GP 45.04.008 ,18.90,0.00
4511001,BATERIA / PILHA LIT,*Bateria CR123A Lithium Panasonic 45.11.001,28.90,0.00
7898615150691,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR1220 45.10.041,2.50,0.00
5435627465409,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR1620 45.10.050,2.90,1.00
7897013538094,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2016 Elgin 45.10.031,3.50,0.00
4895026704720,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2016 GP ou Golden Power 45.10.008,2.90,2.00
4510002,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2016 Maxell 45.10.002 ,3.20,0.00
7899170804111,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2016 Smart 45.10.026,1.50,0.00
008562007628,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2016 Sony 45.10.029,3.90,78.00
7897013538100,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2025 Elgin 45.10.033,2.20,0.00
4891199001130,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2025 GP/GC 45.10.007,3.20,49.00
025215736476,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2025 Maxell 3031 45.10.030,3.90,60.00
4510024,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2025 Panasonic Digital 45.10.024,4.50,0.00
7897013553455,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2032 Elgin 45.10.032,4.20,95.00
4891199001147,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2032 GP ou Golden Power 45.10.019 ,3.90,89.00
025215736483,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2032 Maxell 45.10.001,4.20,48.00
4510025,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2032 MOX/GC/Smart 45.10.025,2.50,0.00
7896067202340,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2032 Panasonic Digital 45.10.016,5.20,0.00
8711500829894,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2032 Philips 45.10.013,6.90,0.00
7898615150776,BATERIA / MOEDA LIT,*Bateria Lithium 3V LR621 45.10.044,2.90,0.00
5435627465089,BATERIA / MOEDA LIT,*Bateria Lithium 3V LR66 LR626 AG4 SR621  45.10.043,2.90,9.00
4891199001086,BATERIA / PILHA LIT,*Bateria Lithium CR123A 3V 45.11.006  :BE2,28.90,19.00
4891199006999,BATERIA / PILHA LIT,*Bateria Lithium CR2 DLCR2 3V GP 45.11.002,36.90,10.00
5379861525102,BATERIA / MOEDA LIT,*Bateria Lithium CR2430 3v Flex 45.10.020,6.90,18.00
5379861525119,BATERIA / MOEDA LIT,*Bateria Moeda CR2450 3V GP 45.10.012,6.90,14.00
5379861525126,BATERIA / MOEDA LIT,*Bateria Moeda CR2477 3V Alarme 45.10.014 ,8.90,7.00
